"","recode","t","parent","sex","age","cause"
"1",1,NA,NA,NA,NA,"Tuberculosis"
"2",2,NA,NA,NA,NA,"Syphilis"
"3",3,NA,NA,NA,NA,"Human immunodeficiency virus (HIV) disease"
"4",4,1,NA,NA,NA,"Malignant neoplasms"
"5",5,NA,4,NA,NA,"Malignant neoplasm of stomach"
"6",6,NA,4,NA,NA,"Malignant neoplasms of colon, rectum and anus"
"7",7,NA,4,NA,NA,"Malignant neoplasm of pancreas"
"8",8,NA,4,NA,NA,"Malignant neoplasms of trachea, bronchus and lung"
"9",9,NA,4,NA,NA,"Malignant neoplasm of breast"
"10",10,NA,4,2,NA,"Malignant neoplasms of cervix uteri, corpus uteri and ovary"
"11",11,NA,4,1,NA,"Malignant neoplasm of prostate"
"12",12,NA,4,NA,NA,"Malignant neoplasms of urinary tract"
"13",13,NA,4,NA,NA,"Non-Hodgkin's lymphoma"
"14",14,NA,4,NA,NA,"Leukemia"
"15",15,NA,4,NA,NA,"Other malignant neoplasms"
"27",16,NA,NA,NA,3,"Diabetes mellitus"
"28",17,NA,NA,NA,NA,"Alzheimer's disease"
"29",18,1,NA,NA,NA,"Major cardiovascular diseases"
"30",19,1,18,NA,NA,"Diseases of heart"
"34",20,NA,19,NA,NA,"Hypertensive heart disease with or without renal disease"
"36",21,NA,19,NA,NA,"Ischemic heart diseases"
"37",22,NA,19,NA,NA,"Other diseases of heart"
"39",23,NA,18,NA,NA,"Essential (primary) hypertension and hypertensive renal disease"
"41",24,NA,18,NA,NA,"Cerebrovascular diseases"
"42",25,NA,18,NA,NA,"Atherosclerosis"
"43",26,NA,18,NA,NA,"Other diseases of circulatory system"
"44",27,NA,NA,NA,NA,"Influenza and pneumonia"
"45",28,NA,NA,NA,NA,"Chronic lower respiratory diseases"
"46",29,NA,NA,NA,NA,"Peptic ulcer"
"47",30,NA,NA,NA,NA,"Chronic liver disease and cirrhosis"
"49",31,NA,NA,NA,NA,"Nephritis, nephrotic syndrome, and nephrosis"
"52",32,NA,NA,2,7,"Pregnancy, childbirth and the puerperium"
"53",33,NA,NA,NA,NA,"Certain conditions originating in the perinatal period"
"54",34,NA,NA,NA,NA,"Congenital malformations, deformations and chromosomal abnormalities"
"55",35,NA,NA,NA,4,"Sudden infant death syndrome"
"56",36,NA,NA,NA,NA,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (excluding Sudden infant death syndrome)"
"58",37,NA,NA,NA,NA,"All other diseases(Residual)"
"74",38,NA,NA,NA,NA,"Motor vehicle accidents"
"88",39,NA,NA,NA,NA,"All other and unspecified accidents and adverse effects"
"108",40,NA,NA,NA,1,"Intentional self-harm (suicide)"
"111",41,NA,NA,NA,NA,"Assault (homicide)"
"114",42,NA,NA,NA,NA,"All other external causes"
